MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,GalLonJ2000,GalLatJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
178,137422,5735,75097,,Pherkad,13 UMi/13Gam UMi/HD 137422/HIP 75097/HR 5735/HYG 74867/MN 178/Pherkad/γ UMi,Pherkad,γ UMi,13 UMi,UMi,15.345483,71.834016,108.46338504797632,40.837159974934664,-18.03,17.68,-4.0,149.2537,3.0,3.016,2.996,0.058,A3II-III,1224.6161992650489,-29.797327,-35.741213,141.814461,-1.42e-06,1.867e-05,1e-07,74868,,0,1
179,151890,6247,82514,,Xamidimura,HD 151890/HIP 82514/HR 6247/HYG 82262/MN 179/Mu 1Sco/Xamidimura/μ1 Sco,Xamidimura,μ1 Sco,,Sco,16.864509,-38.04738,346.11520486703404,3.913956346859741,-8.84,-21.6,-25.0,153.6098,3.0,3.206,2.946,-0.2,B1.5IV + B,1296.5820353826284,-35.43289,-115.66204,-94.671563,2.51e-06,3.066e-05,3.09e-06,82263,,0,1
180,207971,8353,108085,,Aldhanab,Aldhanab/Gam Gru/HD 207971/HIP 108085/HR 8353/HYG 107741/MN 180/γ Gru,Aldhanab,γ Gru,,Gru,21.898808,-37.364852,6.1067500672794495,-51.47254674320802,95.88,-12.1,-2.0,64.7249,3.0,,,-0.084,B8III,230.14418174085063,43.853581,-26.892269,-39.28078,1.238e-05,2.77e-05,-1.78e-06,107742,,0,0
181,22928,1122,17358,,δ Per,39 Per/39Del Per/HD 22928/HIP 17358/HR 1122/HYG 17316/MN 181/δ Per,,δ Per,39 Per,Per,3.715416,47.787551,150.28339965085354,-5.768444811710833,23.83,-41.93,4.0,158.2278,3.01,3.02,3.0,-0.125,B5III SB,1362.6991969948704,59.860731,87.855481,117.192812,-1.4e-07,3.225e-05,-1.858e-05,17316,,0,1
182,44402,2282,30122,,Furud,1 CMa/1Zet CMa/Furud/HD 44402/HIP 30122/HR 2282/HYG 30049/MN 182/ζ CMa,Furud,ζ CMa,1 CMa,CMa,6.338553,-30.063367,237.52198968169708,-19.433593425654355,8.0,3.81,32.0,111.1111,3.02,,,-0.16,B2.5V,666.1929002234552,-8.512138,95.786306,-55.662081,-6.89e-06,2.886e-05,-1.462e-05,30049,,0,0
183,53138,2653,33977,,ο2 CMa,24 CMa/24Omi2CMa/HD 53138/HIP 33977/HR 2653/HYG 33888/MN 183/ο2 CMa,,ο2 CMa,24 CMa,CMa,7.050409,-23.833291,235.55462893747875,-8.227994321671067,-1.56,4.28,48.0,847.4576,3.02,3.065,2.985,-0.077,B3Ia,38761.44867002412,-210.498109,746.064177,-342.438173,-7.95e-06,5.18e-05,-3.75e-06,33888,,0,1
184,105707,4630,59316,,ε Crv,2 Crv/2Eps Crv/HD 105707/HIP 59316/HR 4630/HYG 59133/MN 184/ε Crv,,ε Crv,2 Crv,Crv,12.168746,-22.619766,290.59020801375067,39.259880534999,-71.52,10.55,5.0,97.4659,3.02,,,1.326,K2III,512.3892386646796,-89.88085,-3.973272,-37.486747,-8.12e-06,3.347e-05,2.63e-06,59134,,0,0
185,31964,1605,23416,,Almaaz,7 Aur/7Eps Aur/Almaaz/HD 31964/HIP 23416/HR 1605/HYG 23361/MN 185/ε Aur,Almaaz,ε Aur,7 Aur,Aur,5.032815,43.823308,162.7882788442258,1.1785511460179012,0.18,-2.31,-3.0,653.5948,3.03,3.085,2.935,0.537,F0Ia,22845.46488551825,118.129799,456.518488,452.57303,1.6e-07,2.91e-06,-7.41e-06,23361,,0,1
186,110879,4844,62322,,β Mus,Bet Mus/HD 110879/HIP 62322/HR 4844/HYG 62126/MN 186/β Mus,,β Mus,,Mus,12.771346,-68.108119,302.44922282389285,-5.241205034429029,-40.4,-10.32,42.0,104.712,3.04,,,-0.178,B2V,580.7644175213123,-38.249334,-7.83061,-97.161472,-1.504e-05,1.785e-05,-4.181e-05,62127,,0,0
187,127762,5435,71075,,Seginus,27 Boo/27Gam Boo/HD 127762/HIP 71075/HR 5435/HYG 70850/MN 187/Seginus/γ Boo,Seginus,γ Boo,27 Boo,Boo,14.534636,38.308253,67.26318790229494,66.17235080127702,-115.55,151.87,-37.0,26.6099,3.04,3.052,3.032,0.191,A7IIIvar,37.49730022454834,-16.449442,-12.860715,16.49506,2.378e-05,3.751e-05,-8.08e-06,70851,,0,1
188,183912,7417,95947,,Albireo,6 Cyg/6Bet1Cyg/Albireo/HD 183912/HIP 95947/HR 7417/HYG 95647/MN 188/β1 Cyg,Albireo,β1 Cyg,6 Cyg,Cyg,19.512023,27.959681,62.10964423878789,4.571501959116376,-7.09,-5.63,-24.0,133.1558,3.05,,,1.088,K3II+...,930.6791831626532,45.350466,-108.51838,62.430012,-1.193e-05,1.667e-05,-1.472e-05,95648,,0,0
189,193495,7776,100345,,Dabih,9 Cap/9Bet Cap/Dabih/HD 193495/HIP 100345/HR 7776/HYG 100019/MN 189/β Cap,Dabih,β Cap,9 Cap,Cap,20.350187,-14.781367,29.149735505446777,-26.3700914189453,48.42,14.0,-19.0,100.2004,3.05,,,0.79,A5:n,526.744488331906,55.920163,-79.116953,-25.564218,9.36e-06,2.75e-05,1.153e-05,100020,,0,0
190,48329,2473,32246,,Mebsuta,27 Gem/27Eps Gem/HD 48329/HIP 32246/HR 2473/HYG 32161/MN 190/Mebsuta/ε Gem,Mebsuta,ε Gem,27 Gem,Gem,6.732202,25.131124,189.5360361110509,9.629065954598843,-5.93,-12.81,10.0,259.0674,3.06,,,1.377,A3mA6-A9,3489.7956743787418,-44.684834,230.247724,110.023705,4.25e-06,1.722e-05,-1.022e-05,32161,,0,0
191,89758,4069,50801,,Tania Australis,34 UMa/34Mu UMa/HD 89758/HIP 50801/HR 4069/HYG 50655/MN 191/Tania Australis/μ UMa,Tania Australis,μ UMa,34 UMa,UMa,10.372155,41.499516,177.9031909744718,56.360366692631835,-80.47,34.1,-21.0,70.6215,3.06,,,1.603,M0III SB,259.4179362118815,-48.161684,21.865099,46.794651,3.308e-05,1.524e-05,-5.49e-06,50655,,0,0
192,180711,7310,94376,,Altais,57 Dra/57Del Dra/Altais/HD 180711/HIP 94376/HR 7310/HYG 94080/MN 192/δ Dra,Altais,δ Dra,57 Dra,Dra,19.209225,67.661541,98.65591511992572,22.994503697370664,94.49,92.3,25.0,29.8686,3.07,,,0.99,G9III,45.96211446660011,3.534238,-10.788301,27.627312,1.218e-05,6.77e-06,2.873e-05,94081,,0,0
193,167618,6832,89642,,η Sgr,Eta Sgr/HD 167618/HIP 89642/HR 6832/HYG 89363/MN 193/η Sgr,,η Sgr,,Sgr,18.293793,-36.761686,356.4330352897363,-9.677175271282737,-129.27,-166.61,1.0,44.7427,3.1,3.119,3.069,1.582,M2III,100.36909309200966,2.754228,-35.738834,-26.777975,-2.955e-05,1.859e-05,-2.956e-05,89364,,0,1
194,76294,3547,43813,,ζ Hya,16 Hya/16Zet Hya/HD 76294/HIP 43813/HR 3547/HYG 43689/MN 194/ζ Hya,,ζ Hya,16 Hya,Hya,8.92323,5.945563,222.342826430756,30.198569865190752,-99.76,14.65,23.0,51.2558,3.11,,,0.978,G8III-IV,130.49684141302234,-35.316755,36.765697,5.309278,1.93e-06,3.377e-05,6.06e-06,43689,,0,0
195,93813,4232,52943,,ν Hya,HD 93813/HIP 52943/HR 4232/HYG 52789/MN 195/Nu Hya/ν Hya,,ν Hya,,Hya,10.827079,-16.193648,265.05224955473153,37.56069414556559,92.77,199.02,-1.0,44.0723,3.11,,,1.232,K0/K1III,96.47171518961676,-40.343946,12.793047,-12.291085,-1.636e-05,-1.561e-05,4.112e-05,52789,,0,0
196,100841,4467,56561,,λ Cen,HD 100841/HIP 56561/HR 4467/HYG 56391/Lam Cen/MN 196/λ Cen,,λ Cen,,Cen,11.596363,-63.019841,294.4727690712211,-1.3973507960572382,-33.84,-6.87,-1.0,128.7001,3.11,,,-0.044,B9II:,822.6213938831102,-58.063196,6.158685,-114.692848,6.49e-06,2.054e-05,-1.03e-06,56392,,0,0
197,196171,7869,101772,Gl 794.1,α Ind,Alp Ind/Gl 794.1/HD 196171/HIP 101772/HR 7869/HYG 101444/MN 197/α Ind,,α Ind,,Ind,20.626116,-47.291502,352.5668458567607,-37.208350996869115,49.2,66.07,-1.3,30.1477,3.11,,,0.998,K0III,45.12321133443373,12.976855,-15.802893,-22.152943,9.49e-06,-2.2e-07,7.53e-06,101445,,0,0
198,39425,2040,27628,,Wazn,Bet Col/HD 39425/HIP 27628/HR 2040/HYG 27559/MN 198/Wazn/β Col,Wazn,β Col,,Col,5.849329,-35.768309,241.34177938410332,-27.057292865508902,55.74,404.68,89.0,26.7308,3.12,,,1.146,K1.5III,35.15604405282981,0.855327,21.672805,-15.624858,-3.1e-06,0.00010471,-1.066e-05,27559,,0,0
199,76644,3569,44127,Gl 331A,Talitha,9 UMa/9Iot UMa/Gl 331A/HD 76644/HIP 44127/HR 3569/HYG 44000/MN 199/Talitha/ι UMa,Talitha,ι UMa,9 UMa,UMa,8.986828,48.041826,171.5123700212677,40.83649405475392,-441.12,-215.21,9.0,14.5096,3.12,,,0.223,A7IV,10.35618977044986,-6.835882,6.883318,10.789878,9.75e-06,3.422e-05,-3.28e-06,44000,Gl 331,1,0
200,152786,6285,83081,GJ 9581,ζ Ara,GJ 9581/HD 152786/HIP 83081/HR 6285/HYG 82825/MN 200/Zet Ara/ζ Ara,,ζ Ara,,Ara,16.977006,-55.990141,332.8011373615932,-8.2048974645601,-18.31,-35.29,-6.0,149.0313,3.12,,,1.552,K5III,1092.4460532267929,-22.05913,-80.386753,-123.53816,-6.26e-06,2.719e-05,-9.17e-06,82826,,0,0
201,156164,6410,84379,GJ 3995A,Sarin,65 Her/65Del Her/GJ 3995A/HD 156164/HIP 84379/HR 6410/HYG 84120/MN 201/Sarin/δ Her,Sarin,δ Her,65 Her,Her,17.250531,24.839204,46.82408303912639,31.423277130749472,-21.14,-157.68,-40.0,23.0362,3.12,,,0.08,A3IVv SB,26.109586865859324,-4.075476,-20.503689,9.676738,3.48e-06,2.962e-05,-3.316e-05,84121,GJ 3995,1,0
202,132200,5576,73334,,κ Cen,HD 132200/HIP 73334/HR 5576/HYG 73106/Kap Cen/MN 202/κ Cen,,κ Cen,,Cen,14.986025,-42.104194,326.87200007847355,14.753698772935874,-17.76,-21.33,8.0,117.5088,3.13,,,-0.208,B2IV,672.9766562843175,-61.87283,-61.421692,-78.787457,-5.65e-06,8.64e-06,-1.45e-05,73107,,0,0
203,80493,3705,45860,,α Lyn,40 Lyn/40Alp Lyn/HD 80493/HIP 45860/HR 3705/HYG 45728/MN 203/α Lyn,,α Lyn,40 Lyn,Lyn,9.350925,34.392562,190.23529084221155,44.722393902748586,-222.8,14.78,38.0,62.2665,3.14,,,1.55,M0IIIvar,187.24058959867975,-39.512346,32.846027,35.17204,2.027e-05,7.061e-05,2.563e-05,45728,,0,0
204,82668,3803,46701,,HD 82668,HD 82668/HIP 46701/HR 3803/HYG 46568/MN 204,,,,Vel,9.520371,-57.034377,278.20868755166487,-4.107776405402977,-32.58,6.08,-14.0,73.2601,3.16,3.169,3.149,1.538,K5III,254.4485615146634,-31.754679,24.098313,-61.464914,1.176e-05,5.6e-06,1.319e-05,46568,,0,1
205,156283,6418,84380,,π Her,67 Her/67Pi Her/HD 156283/HIP 84380/HR 6418/HYG 84121/MN 205/π Her,,π Her,67 Her,Her,17.250788,36.809162,60.66073323690989,34.342261047051956,-27.35,2.7,-26.0,115.4734,3.16,,,1.437,K3IIvar,632.1206820052686,-18.017787,-90.679203,69.185936,-1.069e-05,2.475e-05,-1.472e-05,84122,,0,0
206,47670,2451,31685,,ν Pup,HD 47670/HIP 31685/HR 2451/HYG 31605/MN 206/Nu Pup/ν Pup,,ν Pup,,Pup,6.629353,-43.195934,251.9353184940448,-20.53714859598213,-0.43,-3.99,28.0,113.8952,3.17,,,-0.103,B8III SB,609.8176639987851,-13.61885,81.907249,-77.960909,-2.94e-06,1.915e-05,-2.121e-05,31605,,0,0
207,82328,3775,46853,Gl 354A,θ UMa,25 UMa/25The UMa/Gl 354A/HD 82328/HIP 46853/HR 3775/HYG 46720/MN 207/θ UMa,,θ UMa,25 UMa,UMa,9.547715,51.6773,165.4620442558879,45.65073241096572,-947.06,-535.6,15.3,13.4789,3.17,,,0.475,F6IV,8.534930716135483,-6.693935,5.005096,10.57472,7.29e-06,7.181e-05,-9.42e-06,46720,Gl 354,1,0
208,155763,6396,83895,,Aldhibah,22 Dra/22Zet Dra/Aldhibah/HD 155763/HIP 83895/HR 6396/HYG 83637/MN 208/ζ Dra,Aldhibah,ζ Dra,22 Dra,Dra,17.146448,65.714683,96.00982966924003,35.040351412790976,-20.76,19.15,-17.0,100.7049,3.17,,,-0.12,B6III,476.4309868054156,-9.178442,-40.388128,91.793254,-6.41e-06,1.753e-05,-1.2e-05,83638,,0,0
209,173300,7039,92041,,φ Sgr,27 Sgr/27Phi Sgr/HD 173300/HIP 92041/HR 7039/HYG 91753/MN 209/φ Sgr,,φ Sgr,27 Sgr,Sgr,18.76094,-26.990778,7.996287330965791,-10.774439483719249,51.15,0.45,22.0,73.3676,3.17,,,-0.107,B8.5III,253.04630494613968,12.937936,-64.083559,-33.297761,2.181e-05,-1.612e-05,-1.007e-05,91754,,0,0
210,32630,1641,23767,,Haedus,10 Aur/10Eta Aur/HD 32630/HIP 23767/HR 1641/HYG 23712/Haedus/MN 210/η Aur,Haedus,η Aur,10 Aur,Aur,5.10858,41.234474,165.35377738743074,0.2716540609308678,30.6,-68.41,7.0,74.6269,3.18,,,-0.148,B3V,259.1791134615946,12.978524,54.599524,49.18977,-5.75e-06,2.367e-05,-1.389e-05,23712,,0,0
211,128898,5463,71908,Gl 560A,α Cir,Alp Cir/Gl 560A/HD 128898/HIP 71908/HR 5463/HYG 71681/MN 211/α Cir,,α Cir,,Cir,14.708492,-64.975138,314.3351112263949,-4.591838026656109,-192.64,-234.07,7.2,16.57,3.18,3.184,3.174,0.256,F1Vp,12.78792262935846,-5.319852,-4.563974,-15.014538,4.9e-07,2.081e-05,-1.463e-05,71682,Gl 560,1,1
212,30652,1543,22449,Gl 178,Tabit,1 Ori/1Pi 3Ori/Gl 178/HD 30652/HIP 22449/HR 1543/HYG 22396/MN 212/Tabit/π3 Ori,Tabit,π3 Ori,1 Ori,Ori,4.830669,6.961276,191.4520238406608,-23.06480969802197,463.44,11.62,24.4,8.0684,3.19,,,0.484,F6V,3.003308878676558,2.413721,7.63677,0.977904,-9.83e-06,2.903e-05,3.48e-06,22396,,0,0
213,32887,1654,23685,,ε Lep,2 Lep/2Eps Lep/HD 32887/HIP 23685/HR 1654/HYG 23630/MN 213/ε Lep,,ε Lep,2 Lep,Lep,5.091018,-22.371032,223.24662760500647,-32.731161236436,19.27,-72.35,1.0,65.4022,3.19,,,1.46,K4III,197.33312795365023,14.257014,58.775516,-24.89227,-7.77e-06,-6.13e-06,-2.16e-05,23630,,0,0
214,153210,6299,83000,,κ Oph,27 Oph/27Kap Oph/HD 153210/HIP 83000/HR 6299/HYG 82744/MN 214/κ Oph,,κ Oph,27 Oph,Oph,16.961139,9.375033,28.36501011892597,29.5047234046122,-293.03,-9.7,-56.0,28.0426,3.19,3.199,3.189,1.16,K2IIIvar,36.27438014764577,-7.432411,-26.650562,4.567947,-2.325e-05,6.492e-05,-1.063e-05,82745,,0,1
215,161892,6630,87261,,Fuyue,Fuyue/HD 161892/HIP 87261/HR 6630/HYG 86990/MN 215,Fuyue,,,Sco,17.830965,-37.043304,353.50268461307184,-4.939823699887418,42.09,27.77,25.0,38.5802,3.19,,,1.192,K0/K1III,68.67521061488183,-1.362278,-30.763993,-23.24156,6.82e-06,-2.386e-05,-1.126e-05,86991,,0,0
216,202109,8115,104732,,ζ Cyg,64 Cyg/64Zet Cyg/HD 202109/HIP 104732/HR 8115/HYG 104393/MN 216/ζ Cyg,,ζ Cyg,64 Cyg,Cyg,21.215607,30.226916,76.75381214387093,-12.452266953216984,6.87,-68.12,17.0,43.8789,3.21,,,0.99,G8II SB,87.17661466018497,28.278409,-25.25354,22.089851,1.762e-05,-1.378e-05,-3.77e-06,104394,,0,0
217,222404,8974,116727,Gl 903,Errai,35 Cep/35Gam Cep/Errai/Gl 903/HD 222404/HIP 116727/HR 8974/HYG 116358/MN 217/γ Cep,Errai,γ Cep,35 Cep,Cep,23.65582,77.632276,118.99227714330884,15.315392744540546,-48.85,127.18,-43.1,14.1024,3.21,,,1.031,K1IV,9.003264310597224,3.008186,-0.271815,13.774751,-1.816e-05,-1.71e-06,-4.119e-05,116361,,0,0
218,136298,5695,75141,,δ Lup,Del Lup/HD 136298/HIP 75141/HR 5695/HYG 74911/MN 218/δ Lup,,δ Lup,,Lup,15.356201,-40.647518,331.32191266789124,13.81630334969296,-19.11,-24.05,-2.4,271.0027,3.22,3.239,3.209,-0.227,B1.5IV,3296.0971217745796,-131.223518,-158.301112,-176.532145,-5e-06,3.33e-05,-2.237e-05,74912,,0,1
219,146791,6075,79882,GJ 3949,Yed Posterior,2 Oph/2Eps Oph/GJ 3949/HD 146791/HIP 79882/HR 6075/HYG 79639/MN 219/Yed Posterior/ε Oph,Yed Posterior,ε Oph,2 Oph,Oph,16.305358,-4.692511,8.56588763693312,30.80981157623083,82.39,40.08,-7.7,32.6371,3.23,,,0.966,G8III,47.38053933388255,-13.962311,-29.378579,-2.669978,1.492e-05,1.02e-06,6.96e-06,79640,,0,0
220,168723,6869,89962,Gl 711,η Ser,58 Ser/58Eta Ser/Gl 711/HD 168723/HIP 89962/HR 6869/HYG 89683/MN 220/η Ser,,η Ser,58 Ser,Ser,18.355167,-2.898825,26.89538522725936,5.362093087366511,-547.57,-700.72,6.9,18.5426,3.23,,,0.941,K0III-IV,15.289736466907096,1.719456,-18.438938,-0.937748,-4.865e-05,-8.42e-06,-6.326e-05,89684,,0,0
221,205021,8238,106032,,Alfirk,8 Cep/8Bet Cep/Alfirk/HD 205021/HIP 106032/HR 8238/HYG 105690/MN 221/β Cep,Alfirk,β Cep,8 Cep,Cep,21.477662,70.560716,107.53919486884296,14.02612541225534,12.6,8.73,-8.0,210.084,3.23,3.257,3.207,-0.201,B2IIIv SB,1962.4563241736896,55.219515,-42.886719,198.108029,-9e-07,1.695e-05,-4.76e-06,105691,,0,1
222,50241,2550,32607,Gl 248,α Pic,Alp Pic/Gl 248/HD 50241/HIP 32607/HR 2550/HYG 32521/MN 222/α Pic,,α Pic,,Pic,6.803194,-61.941391,271.91870204327336,-24.09934903196671,-68.39,242.03,20.6,29.6033,3.24,,,0.225,A7IV,38.618908944898976,-2.906455,13.618019,-26.124095,1.13e-06,4.172e-05,-2.25e-06,32521,,0,0
223,191692,7710,99473,,θ Aql,65 Aql/65The Aql/HD 191692/HIP 99473/HR 7710/HYG 99155/MN 223/θ Aql,,θ Aql,65 Aql,Aql,20.188413,-0.821461,41.57964066760081,-18.084185158524654,35.48,6.05,-27.0,87.7963,3.24,,,-0.066,B9.5III,339.46890538007864,47.588681,-73.769106,-1.258706,-2.26e-06,3.136e-05,2.97e-06,99156,,0,0
224,59717,2878,36377,,σ Pup,HD 59717/HIP 36377/HR 2878/HYG 36274/MN 224/Sig Pup/σ Pup,,σ Pup,,Pup,7.487179,-43.301432,255.7359441433541,-11.9119080755546,-59.86,188.73,88.0,59.3824,3.25,3.265,3.225,1.509,K5III SB,153.88631498199555,-16.404069,39.982094,-40.72716,-2.306e-05,0.00010161,-2.219e-05,36274,,0,1
225,123123,5287,68895,Gl 538.1,π Hya,49 Hya/49Pi Hya/Gl 538.1/HD 123123/HIP 68895/HR 5287/HYG 68674/MN 225/π Hya,,π Hya,49 Hya,Hya,14.106193,-26.682361,323.00087983769976,33.25240129899214,43.05,-140.82,27.3,30.9598,3.25,,,1.091,K2III,41.84080195674278,-23.563202,-14.492156,-13.902421,-9.78e-06,-1.36e-05,-3.142e-05,68675,,0,0
226,133216,5603,73714,,Brachium,20 Lib/20Sig Lib/Brachium/HD 133216/HIP 73714/HR 5603/HYG 73485/MN 226/σ Lib,Brachium,σ Lib,20 Lib,Lib,15.067839,-25.281965,337.22242606653185,28.61770902039011,-71.85,-44.69,-4.0,88.4173,3.25,3.351,3.181,1.674,M3/M4III,341.3500729493114,-55.51919,-57.527085,-37.760649,-1.391e-05,2.993e-05,-1.557e-05,73486,,0,1
227,176437,7178,93194,,Sulafat,14 Lyr/14Gam Lyr/HD 176437/HIP 93194/HR 7178/HYG 92901/MN 227/Sulafat/γ Lyr,Sulafat,γ Lyr,14 Lyr,Lyr,18.982395,32.689557,63.318366749521,12.811526748686504,-2.76,1.77,-21.0,190.1141,3.25,,,-0.049,B9III,1577.6112696993484,40.69872,-154.738921,102.67804,-7.28e-06,1.769e-05,-1.023e-05,92902,,0,0
228,24512,1208,17678,,γ Hyi,Gam Hyi/HD 24512/HIP 17678/HR 1208/HYG 17637/MN 228/γ Hyi,,γ Hyi,,Hyi,3.787295,-74.238962,289.12942367305413,-37.79823483356952,51.07,115.27,16.0,65.6168,3.26,,,1.59,M2III,186.2087136662867,9.756821,14.915528,-63.149939,8.16e-06,4.214e-05,-5.79e-06,17637,,0,0
229,3627,165,3092,,δ And,31 And/31Del And/HD 3627/HIP 3092/HR 165/HYG 3086/MN 229/δ And,,δ And,31 And,And,0.655462,30.861024,119.86938319482644,-31.938700918845285,115.38,-83.05,-7.0,32.352,3.27,,,1.268,K3III...,44.87453899331323,27.363473,4.742224,16.595166,-2.56e-06,1.792e-05,-1.485e-05,3086,,0,0
230,157056,6453,84970,,θ Oph,42 Oph/42The Oph/HD 157056/HIP 84970/HR 6453/HYG 84710/MN 230/θ Oph,,θ Oph,42 Oph,Oph,17.366827,-24.999545,0.464407528833161,6.552355833916732,-8.84,-23.64,-2.0,133.6898,3.27,3.287,3.257,-0.186,B2IV,765.5966069112561,-19.992891,-119.503681,-56.498782,-4.28e-06,9.16e-06,-1.302e-05,84711,,0,1
231,216627,8709,113136,,Skat,76 Aqr/76Del Aqr/HD 216627/HIP 113136/HR 8709/HYG 112775/MN 231/Skat/δ Aqr,Skat,δ Aqr,76 Aqr,Aqr,22.910837,-15.82082,49.57898817359549,-60.668266408093224,-44.08,-24.81,18.0,49.2368,3.27,,,0.066,A3V,103.8484455008274,45.459019,-13.325406,-13.423467,1.249e-05,-1.462e-05,-1.072e-05,112776,,0,0
232,33904,1702,24305,,μ Lep,5 Lep/5Mu Lep/HD 33904/HIP 24305/HR 1702/HYG 24249/MN 232/μ Lep,,μ Lep,5 Lep,Lep,5.215528,-16.205468,217.2505262095753,-28.906509451328727,45.66,-16.13,28.0,57.0125,3.29,3.298,3.278,-0.11,B9IV: HgMn,136.77288255958496,11.164848,53.596933,-15.911275,-7e-06,2.828e-05,-1.227e-05,24249,,0,1
233,89080,4037,50099,,ω Car,HD 89080/HIP 50099/HR 4037/HYG 49958/MN 233/Ome Car/ω Car,,ω Car,,Car,10.228961,-70.037903,290.16385204113675,-11.179555204069588,-35.73,7.55,7.0,104.8218,3.29,,,-0.074,B8III,462.16813609224465,-32.00779,16.00439,-98.524026,2.71e-06,1.894e-05,-5.42e-06,49958,,0,0
234,137759,5744,75458,,Edasich,12 Dra/12Iot Dra/Edasich/HD 137759/HIP 75458/HR 5744/HYG 75228/MN 234/ι Dra,Edasich,ι Dra,12 Dra,Dra,15.415494,58.966065,93.9710592670414,48.6277714536836,-8.27,17.3,-11.0,31.027,3.29,,,1.166,K2III,40.513522022926395,-10.015969,-12.471787,26.585776,4.06e-06,7.04e-06,-8.3e-06,75229,,0,0
235,29305,1465,21281,,α Dor,Alp Dor/HD 29305/HIP 21281/HR 1465/HYG 21228/MN 235/α Dor,,α Dor,,Dor,4.566598,-55.044975,263.8325678316269,-41.41544119797642,58.06,12.73,26.0,51.7063,3.3,3.313,3.273,-0.079,A0V:,111.48078033638414,10.857822,27.56288,-42.378779,-7e-06,2.194e-05,-1.997e-05,21228,,0,1
236,91465,4140,51576,,HD 91465,HD 91465/HIP 51576/HR 4140/HYG 51428/MN 236,,,,Car,10.533743,-61.685332,287.18011777645484,-3.153887456194972,-16.59,11.42,26.0,148.1481,3.3,3.448,3.218,-0.089,B4Vne,914.53430312046,-65.154868,26.316211,-130.423268,-1.393e-05,1.847e-05,-1.952e-05,51428,,0,1
237,42995,2216,29655,,Propus,7 Gem/7Eta Gem/HD 42995/HIP 29655/HR 2216/HYG 29582/MN 237/Propus/η Gem,Propus,η Gem,7 Gem,Gem,6.247961,22.506799,188.85324315476575,2.518503562810682,-62.53,-10.24,19.0,117.9245,3.31,3.446,3.216,1.6,M3III,574.3809134963176,-7.067151,108.713368,45.140745,3.436e-05,2.247e-05,2.03e-06,29582,,0,1
238,157246,6462,85267,,γ Ara,Gam Ara/HD 157246/HIP 85267/HR 6462/HYG 85007/MN 238/γ Ara,,γ Ara,,Ara,17.423239,-56.377727,334.6447114639805,-11.478576038770608,-0.77,-15.85,-3.0,341.2969,3.31,,,-0.15,B1Ib,4812.824218676023,-28.42707,-186.83103,-284.199972,2.28e-06,2.346e-05,-1.197e-05,85008,,0,0
239,6595,322,5165,,β Phe,Bet Phe/HD 6595/HIP 5165/HR 322/HYG 5154/MN 239/β Phe,,β Phe,,Phe,1.101407,-46.718414,295.50597755389254,-70.19808792595681,-70.16,31.6,-1.0,100000.0,3.32,,,0.885,G8IIIvar,409260659.730011,65728.03719,19495.774096,-72799.31262,0.02036281,-0.02943628,0.01050305,5154,,0,0
240,19058,921,14354,,ρ Per,25 Per/25Rho Per/HD 19058/HIP 14354/HR 921/HYG 14318/MN 240/ρ Per,,ρ Per,25 Per,Per,3.08627,38.840274,149.59807189016232,-17.009067669001755,128.69,-106.61,28.0,94.3396,3.32,3.462,3.262,1.528,M3IIIvar,364.0826637894008,50.772204,53.119196,59.165375,-6.01e-06,7.889e-05,-2.002e-05,14318,,0,1
241,106591,4660,59774,Gl 459,Megrez,69 UMa/69Del UMa/Gl 459/HD 106591/HIP 59774/HR 4660/HYG 59591/MN 241/Megrez/δ UMa,Megrez,δ UMa,69 UMa,UMa,12.257086,57.032617,132.56683483203813,59.41689074653125,103.56,7.81,-13.4,24.6853,3.32,,,0.077,A3Vvar,24.9344618809783,-13.402309,-0.903455,20.710384,9.06e-06,-1.181e-05,-1.099e-05,59592,,0,0
242,155203,6380,84143,Gl 657,η Sco,Eta Sco/Gl 657/HD 155203/HIP 84143/HR 6380/HYG 83884/MN 242/η Sco,,η Sco,,Sco,17.202552,-43.239189,344.36447223561845,-2.303765024309188,22.01,-287.41,-27.0,22.5276,3.32,,,0.441,F3p,20.77782097504266,-3.401345,-16.05484,-15.432267,1.098e-05,4.022e-05,-3.95e-06,83885,,0,0
243,163917,6698,88048,,ν Oph,64 Oph/64Nu Oph/HD 163917/HIP 88048/HR 6698/HYG 87774/MN 243/ν Oph,,ν Oph,64 Oph,Oph,17.983775,-9.773632,18.167963243265653,6.974397645265955,-10.31,-116.12,13.0,46.2107,3.32,,,0.987,K0III,87.41782564005277,-0.193436,-45.539708,-7.844563,-2.35e-06,-8.68e-06,-2.789e-05,87775,,0,0
