MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,GalLonJ2000,GalLatJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
86,160578,6580,86670,,κ Sco,HD 160578/HIP 86670/HR 6580/HYG 86402/Kap Sco/MN 86/κ Sco,,κ Sco,,Sco,17.708132,-39.029983,351.04374902081145,-4.719239273618594,-6.49,-25.55,-14.0,148.1481,2.39,2.404,2.384,-0.171,B1.5III,2114.462561652589,-8.785101,-114.747994,-93.292778,-2.92e-06,2.297e-05,-5.24e-06,86403,,0,1
87,2261,99,2081,,Ankaa,Alp Phe/Ankaa/HD 2261/HIP 2081/HR 99/HYG 2076/MN 87/α Phe,Ankaa,α Phe,,Phe,0.438056,-42.305981,320.00030588122013,-73.97840651226262,232.76,-353.64,75.0,25.974,2.4,,,1.083,K0III...,64.44659847416881,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,2076,,0,0
88,103287,4554,58001,,Phecda,64 UMa/64Gam UMa/HD 103287/HIP 58001/HR 4554/HYG 57827/MN 88/Phecda/γ UMa,Phecda,γ UMa,64 UMa,UMa,11.897168,53.69476,140.8401073322504,61.38483358631556,107.76,11.16,-13.0,25.5037,2.41,,,0.044,A0V SB,61.54602373713163,-15.094867,0.406425,20.552678,8.62e-06,-1.356e-05,-9.9e-06,57828,,0,0
89,155125,6378,84012,Gl 656.1A,Sabik,35 Oph/35Eta Oph/Gl 656.1A/HD 155125/HIP 84012/HR 6378/HYG 83754/MN 89/Sabik/η Oph,Sabik,η Oph,35 Oph,Oph,17.172968,-15.72491,6.721432818153933,14.007839413655171,41.16,97.65,-2.4,27.0929,2.43,,,0.059,A2.5Va,68.17105263058534,-5.602493,-25.470005,-7.342684,5.04e-06,-2.25e-06,1.301e-05,83755,Gl 656.1,1,0
90,217906,8775,113881,,Scheat,53 Peg/53Bet Peg/HD 217906/HIP 113881/HR 8775/HYG 113520/MN 90/Scheat/β Peg,Scheat,β Peg,53 Peg,Peg,23.062901,28.082789,95.74850928043855,-29.04489782334323,187.76,137.61,9.0,60.0962,2.44,2.584,2.384,1.655,M2II-IIIvar,332.35330357747745,51.433435,-12.877612,28.290136,2.86e-06,5.567e-05,3.97e-05,113521,,0,1
91,58350,2827,35904,,Aludra,31 CMa/31Eta CMa/Aludra/HD 58350/HIP 35904/HR 2827/HYG 35806/MN 91/η CMa,Aludra,η CMa,31 CMa,CMa,7.401584,-29.303104,242.6165293785857,-6.485715940662952,-3.76,6.66,41.0,609.7561,2.45,2.509,2.409,-0.083,B5Ia,33915.6386905822,-190.762166,496.337122,-298.432917,-6.2e-06,4.711e-05,-3.36e-06,35806,,0,1
92,203280,8162,105199,Gl 826,Alderamin,5 Cep/5Alp Cep/Alderamin/Gl 826/HD 203280/HIP 105199/HR 8162/HYG 104860/MN 92/α Cep,Alderamin,α Cep,5 Cep,Cep,21.30963,62.585573,100.99883564388456,9.172072209484185,149.91,48.27,-11.5,15.0376,2.45,,,0.257,A7IV-V,20.62528697846573,5.276111,-4.483201,13.348778,5.7e-07,1.386e-05,-8.82e-06,104861,,0,0
93,81188,3734,45941,,Markeb,HD 81188/HIP 45941/HR 3734/HYG 45809/Kap Vel/MN 93/Markeb/κ Vel,Markeb,κ Vel,,Vel,9.368562,-55.010668,275.8822451974773,-3.537433415631901,-10.72,11.24,22.0,175.4386,2.47,,,-0.141,B2IV,2756.7666102901003,-77.65777,63.951481,-143.729782,-1.021e-05,2.022e-05,-1.295e-05,45809,,0,0
94,197989,7949,102488,Gl 806.1A,Aljanah,53 Cyg/53Eps Cyg/Aljanah/Gl 806.1A/HD 197989/HIP 102488/HR 7949/HYG 102156/MN 94/ε Cyg,Aljanah,ε Cyg,53 Cyg,Cyg,20.770178,33.970256,75.9512713667538,-5.7153003826864825,356.16,330.28,-10.9,22.2916,2.48,,,1.021,K0III,44.09608164506378,12.262597,-13.834612,12.455654,9.44e-06,4.737e-05,2.337e-05,102157,Gl 806.1,1,0
95,218045,8781,113963,,Markab,54 Peg/54Alp Peg/HD 218045/HIP 113963/HR 8781/HYG 113602/MN 95/Markab/α Peg,Markab,α Peg,54 Peg,Peg,23.079348,15.205264,88.27978518286038,-40.38106392333921,61.1,-42.56,-4.0,40.8831,2.49,,,-0.002,B9.5III,146.96028989796503,38.311434,-9.417123,10.722722,1.21e-06,1.217e-05,-9.21e-06,113603,,0,0
96,18884,911,14135,,Menkar,92 Cet/92Alp Cet/HD 18884/HIP 14135/HR 911/HYG 14100/MN 96/Menkar/α Cet,Menkar,α Cet,92 Cet,Cet,3.037992,4.089734,173.3159794632238,-45.595701400753775,-11.81,-78.76,-26.0,76.3942,2.54,2.561,2.521,1.63,M2III,489.77881936844614,53.342561,54.414384,5.448321,-1.399e-05,-2.052e-05,-3.099e-05,14100,,0,1
97,149757,6175,81377,,ζ Oph,13 Oph/13Zet Oph/HD 149757/HIP 81377/HR 6175/HYG 81129/MN 97/ζ Oph,,ζ Oph,13 Oph,Oph,16.619316,-10.56709,6.281232831563326,23.587740581394307,13.07,25.44,-15.0,112.2334,2.54,2.55,2.52,0.038,O9.5V,1057.791322499501,-39.017319,-103.200447,-20.582092,1.109e-05,9.22e-06,1.642e-05,81130,,0,1
98,121263,5231,68002,,ζ Cen,HD 121263/HIP 68002/HR 5231/HYG 67785/MN 98/Zet Cen/ζ Cen,,ζ Cen,,Cen,13.925667,-47.288375,314.06878627528283,14.192489364935296,-57.14,-44.75,7.0,117.096,2.55,,,-0.176,B2.5IV,1140.7750129221204,-69.545858,-38.36753,-86.039492,-3.58e-06,3.507e-05,-2.249e-05,67786,,0,0
99,97603,4357,54872,Gl 419,Zosma,68 Leo/68Del Leo/Gl 419/HD 97603/HIP 54872/HR 4357/HYG 54711/MN 99/Zosma/δ Leo,Zosma,δ Leo,68 Leo,Leo,11.235138,20.523717,224.2285008674596,66.82750486468092,143.31,-130.43,-20.2,17.9147,2.56,,,0.128,A4V,26.448436268543603,-16.442201,3.337108,6.280742,1.259e-05,-1.526e-05,-1.785e-05,54712,,0,0
100,144217,5984,78820,,Acrab,8 Sco/8Bet1Sco/Acrab/HD 144217/HIP 78820/HR 5984/HYG 78579/MN 100/β1 Sco,Acrab,β1 Sco,8 Sco,Sco,16.09062,-19.805453,353.19287071646505,23.599623071315456,-6.75,-24.89,-1.0,123.9157,2.56,,,-0.065,B0.5V,1265.9017493002452,-55.881427,-102.320756,-41.98604,-6.7e-07,7.23e-06,-1.372e-05,78580,,0,0
101,36673,1865,25985,,Arneb,11 Lep/11Alp Lep/Arneb/HD 36673/HIP 25985/HR 1865/HYG 25920/MN 101/α Lep,Arneb,α Lep,11 Lep,Lep,5.545504,-17.822289,220.94712336218245,-25.141357713381677,3.27,1.54,24.0,680.2721,2.58,,,0.211,F0Ib,37428.29122408052,76.877195,643.047236,-208.208,-7.75e-06,2.603e-05,-2.68e-06,25920,,0,0
