,jed,sun_rise_time,sun_set_time,dusk_time,dawn_time,venus_rise_time,venus_set_time,visible_at_down,visible_after_dawn,visible_at_dusk,visible_before_dusk,az_horizon,az_twilight,el_twilight
482,625815.0003576,625815.6311101962,625815.1715823147,625815.5756940611,625815.2270003901,625815.651120208,625815.1983824477,True,False,False,False,289.0220228802175,,
483,625816.0003576,625816.6305089779,625816.1718376013,625816.5749593794,625816.2273884475,625816.6512110902,625816.1995880005,True,False,False,False,289.47267876165495,,
484,625817.0003576,625817.6299188945,625817.1720976632,625817.5742343529,625817.2277827715,625817.6513252519,625817.2008015325,True,False,False,False,289.91524769911507,,
485,625818.0003576,625818.6293402109,625818.1723624892,625818.5735193994,625818.2281832199,625818.6514632367,625818.2020227918,True,False,False,False,290.3494564850311,,
486,625819.0003576,625819.6287731752,625819.1726320465,625819.572814682,625819.228589834,625819.6516255597,625819.2032514827,True,False,False,False,290.77503191183627,,
487,625820.0003576,625820.628218014,625820.1729062779,625820.5721205309,625820.2290024508,625820.6518127013,625820.2044872607,True,False,False,False,291.1917554134771,,
488,625821.0003576,625821.6276749333,625821.1731850987,625821.5714372761,625821.2294208716,625821.6520251038,625821.2057297288,True,False,False,False,291.5993537823868,,
489,625822.0003576,625822.6271441223,625822.1734683977,625822.5707594369,625822.2298506406,625822.6522631738,625822.2069784354,True,False,False,False,291.99752649024185,,
490,625823.0003576,625823.6266257658,625823.1737560444,625823.5700988921,625823.2302799394,625823.6525272909,625823.208232878,True,False,False,False,292.38608229174554,,
491,625824.0003576,625824.626120056,625824.1740479004,625824.569450185,625824.230714287,625824.6528178169,625824.2094925139,True,False,False,False,292.76472065857433,,
492,625825.0003576,625825.6256271997,625825.1743438309,625825.5688136412,625825.2311534175,625825.6531351022,625825.2107567689,True,False,False,False,293.1331683831615,,
493,625826.0003576,625826.6251474186,625826.174643714,625826.5681896332,625826.2315970631,625826.6534794825,625826.212025045,True,False,False,False,293.4912068994536,,
494,625827.0003576,625827.6246809438,625827.1749474395,625827.567578522,625827.2320449888,625827.6538512735,625827.2132967196,True,False,False,False,293.83853567912706,,
495,625828.0003576,625828.6242280114,625828.1752549065,625828.5669749044,625828.2325027342,625828.6542507636,625828.2145711456,True,False,False,False,294.17496347688524,,
496,625829.0003576,625829.6237888578,625829.175566019,625829.5663907268,625829.23295848,625829.6546782092,625829.2158476466,True,False,False,False,294.50021708516124,,
497,625830.0003576,625830.6233637179,625830.1758806817,625830.5658205202,625830.2334178729,625830.655133832,625830.2171255173,True,False,False,False,294.81405061714497,,
498,625831.0003576,625831.6229528235,625831.1761987964,625831.5652633295,625831.2338819497,625831.6556178164,625831.218404022,True,False,False,False,295.11621818602634,,
499,625832.0003576,625832.6225564005,625832.176520258,625832.5647208419,625832.2343491655,625832.6561303085,625832.2196823945,True,False,False,False,295.40655586726524,,
500,625833.0003576,625833.6221746686,625833.1768449515,625833.564193441,625833.2348192488,625833.6566714125,625833.2209598362,True,False,False,False,295.6847631325382,,
501,625834.0003576,625834.6218078397,625834.1771727484,625834.563681486,625834.2352919217,625834.6572411903,625834.2222355185,True,False,False,False,295.9507033780618,,
502,625835.0003576,625835.6214561174,625835.1775035067,625835.5631853453,625835.2357668619,625835.6578396601,625835.2235085827,True,False,False,False,296.2041033962693,,
503,625836.0003576,625836.6211196976,625836.1778370694,625836.5627053936,625836.2362437589,625836.6584667959,625836.2247781414,True,False,False,False,296.44479926262056,,
504,625837.0003576,625837.6207987689,625837.1781732659,625837.5622419768,625837.2367222673,625837.6591225271,625837.2260432821,True,False,False,False,296.6725724110621,,
505,625838.0003576,625838.6204935131,625838.1785119125,625838.5617954594,625838.2372020329,625838.6598067391,625838.2273030702,True,False,False,False,296.88725891705394,,
506,625839.0003576,625839.6202041055,625839.1788528136,625839.5613661922,625839.2376826688,625839.6605192721,625839.2285565527,True,False,False,False,297.08864021454264,,
507,625840.0003576,625840.6199307141,625840.1791957621,625840.5609545283,625840.2381638016,625840.661259921,625840.2298027608,True,False,False,False,297.2765796997447,,
508,625841.0003576,625841.6196734989,625841.1795405396,625841.5605608044,625841.2386450175,625841.6620284363,625841.2310407134,True,False,False,False,297.4508861273634,,
509,625842.0003576,625842.6194326095,625842.1798869141,625842.5601853636,625842.2391259084,625842.6628245206,625842.2322694194,True,False,False,False,297.6113955728587,,
510,625843.0003576,625843.6192081817,625843.180234639,625843.559828527,625843.2396060296,625843.6636478291,625843.2334878808,True,False,False,False,297.7579987532039,,
511,625844.0003576,625844.6190003348,625844.1805834505,625844.5594906082,625844.24008493,625844.6644979666,625844.2346950946,True,False,False,False,297.8905317438588,,
512,625845.0003576,625845.6188091659,625845.1809330648,625845.559171893,625845.2405621262,625845.6653744851,625845.2358900534,True,False,False,False,298.0088579410401,,
513,625846.0003576,625846.6186347469,625846.181283176,625846.5588726493,625846.2410371266,625846.6662768801,625846.237071749,True,False,False,False,298.11286806172103,,
514,625847.0003576,625847.618477118,625847.1816334538,625847.558593113,625847.2415094103,625847.6672045866,625847.2382391719,True,False,False,False,298.20248014363165,,
515,625848.0003576,625848.6183362824,625848.1819835412,625848.5583334701,625848.2419784175,625848.6681569736,625848.2393913125,True,False,False,False,298.27761222450175,,
516,625849.0003576,625849.6182122065,625849.1823330519,625849.5580938908,625849.2424435773,625849.6691333437,625849.2405271607,True,False,False,False,298.3381550213048,,
517,625850.0003576,625850.6181048246,625850.1826815717,625850.5578744854,625850.2429042932,625850.6701329383,625850.2416457075,True,False,False,False,298.38408121328393,,
518,625851.0003576,625851.618014052,625851.1830286656,625851.557675352,625851.2433599333,625851.6711549496,625851.242745952,True,False,False,False,298.4153361589259,,
519,625852.0003576,625852.6179397996,625852.1833738899,625852.5574965909,625852.2438098824,625852.6721988013,625852.24382717,True,True,False,False,298.431892537474,298.42937902785945,0.002641427251630329
520,625853.0003576,625853.6178819826,625853.1837168064,625853.5573382935,625853.2442535182,625853.6732631112,625853.2448872437,True,True,False,False,298.43375034892824,298.3401767572991,0.15063500632765783
521,625854.0003576,625854.6178405222,625854.1840569896,625854.5572005573,625854.2446902315,625854.67434725,625854.2459274903,True,True,False,False,298.4208276310186,298.2386255047193,0.29736613265783024
522,625855.0003576,625855.6178153402,625855.1843940306,625855.5570834752,625855.2451194559,625855.6754503143,625855.2469450708,True,True,False,False,298.39320634601506,298.12480723239025,0.4425609333322126
523,625856.0003576,625856.6178063536,625856.1847275337,625856.5569871198,625856.2455406209,625856.6765713752,625856.2479398318,True,True,False,False,298.35088649391764,297.99866729879847,0.5860406361534077
524,625857.0003576,625857.6178134715,625857.1850571143,625857.5569115689,625857.2459531865,625857.6777094824,625857.2489110008,True,True,False,False,298.2938680747264,297.86034230772736,0.7275250699633129
525,625858.0003576,625858.6178365953,625858.1853823974,625858.5568568658,625858.2463566349,625858.6788636656,625858.2498578515,True,True,False,False,298.2222057299546,297.70980493842023,0.866857994184664
526,625859.0003576,625859.6178756186,625859.1857030164,625859.5568230457,625859.2467504427,625859.6800329401,625859.2507797072,True,True,False,False,298.13600874262903,297.5471917946606,1.0038321552648335
527,625860.0003576,625860.617930426,625860.1860186101,625860.5568101259,625860.2471341286,625860.6812163107,625860.2516759399,True,True,False,False,298.0353044335064,297.37253019720504,1.1382898718835295
528,625861.0003576,625861.618000892,625861.186328822,625861.556818117,625861.2475071982,625861.6824127724,625861.2525459705,True,True,False,False,297.92017476485665,297.1859021083236,1.2700968347740256
529,625862.0003576,625862.6180868777,625862.1866332961,625862.5568469912,625862.2478691792,625862.6836213144,625862.2533892691,True,True,False,False,297.79075634046325,296.98741681104303,1.3991421600840153
530,625863.0003576,625863.6181882317,625863.1869316765,625863.5568967077,625863.2482195992,625863.6848409227,625863.254205354,True,True,False,False,297.64713112259625,296.7771289468767,1.5253364150240536
531,625864.0003576,625864.6183047893,625864.1872236067,625864.5569672137,625864.2485579987,625864.6860705838,625864.2549937924,True,True,False,False,297.48943571503895,296.55514779885124,1.6485838702240543
532,625865.0003576,625865.6184363738,625865.1875087309,625865.5570584281,625865.2488839239,625865.6873092875,625865.2557541991,True,True,False,False,297.3177794008182,296.3216099707502,1.76883564714277
533,625866.0003576,625866.6185827968,625866.1877866942,625866.5571702358,625866.2491969327,625866.6885560327,625866.2564862389,True,True,False,False,297.13232610447403,296.0765701040868,1.8860344362241956
534,625867.0003576,625867.6187438604,625867.1880571453,625867.5573025311,625867.2494965994,625867.6898098311,625867.2571896259,True,True,False,False,296.9332397505465,295.8201648026445,2.0001414974891327
535,625868.0003576,625868.6189193577,625868.1883197378,625868.5574551653,625868.2497825113,625868.6910697103,625868.2578641251,True,True,False,False,296.72062962206235,295.55253067020675,2.111162807353105
536,625869.0003576,625869.619109072,625869.1885741304,625869.5576279798,625869.2500542623,625869.6923347192,625869.2585095521,True,True,False,False,296.494714285075,295.2737769898002,2.219067416521436
537,625870.0003576,625870.6193127767,625870.188819987,625870.5578207901,625870.2503114704,625870.6936039284,625870.2591257712,True,True,False,False,296.25565766412456,294.9839857236949,2.3238952389120873
538,625871.0003576,625871.6195302312,625871.1890569762,625871.5580334096,625871.250553765,625871.6948764324,625871.2597126961,True,True,False,False,296.0036236837511,294.6833481171876,2.425647555185529
539,625872.0003576,625872.6197611783,625872.1892847689,625872.5582655888,625872.2507807942,625872.6961513497,625872.2602702873,True,True,False,False,295.73880358925135,294.3719461325484,2.52436790779772
540,625873.0003576,625873.6200053389,625873.1895030364,625873.5585170691,625873.2509922152,625873.6974278209,625873.2607985488,True,True,False,False,295.46144326743547,294.04994369431734,2.620086178826279
541,625874.0003576,625874.6202624082,625874.1897114476,625874.5587875468,625874.251187683,625874.6987050076,625874.2612975256,True,True,False,False,295.17167932208685,293.7174774062778,2.712845056953518
542,625875.0003576,625875.6205320482,625875.1899096665,625875.5590766785,625875.2513668779,625875.6999820869,625875.2617672994,True,True,False,False,294.8697576400156,293.37468387221315,2.802727144779712
543,625876.0003576,625876.6208138866,625876.1900973497,625876.5593840617,625876.2515294813,625876.7012582503,625876.2622079845,True,True,False,False,294.5558967872752,293.0217270166636,2.8897977559888
544,625877.0003576,625877.6211075159,625877.190274145,625877.5597092445,625877.2516751768,625877.7025327021,625877.2626197236,True,True,False,False,294.230315329919,292.65874344341245,2.9741307420011824
545,625878.0003576,625878.6214124982,625878.1904396927,625878.5600517471,625878.251803653,625878.7038046627,625878.2630026855,True,True,False,False,293.8932864755139,292.2858970769998,3.0558091323039567
