,MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
3961,3962,29116,1456,20297,,ν Men,HD 29116/HIP 20297/HR 1456/HYG 20248/MN 3962/Nu Men/ν Men,,ν Men,,Men,4.349455,-81.57992,9.07,126.08,14.0,52.0562,5.78,,,0.359,F0/F2III,11.502705477901149,3.192246,6.921957,-51.495214,-9.51e-06,3.144e-05,1.198e-05,20248,,0,0
3962,3963,28446,1417,21148,,1 Cam,1 Cam/HD 28446/HIP 21148/HR 1417/HYG 21096/MN 3963,,,1 Cam,Cam,4.533845,53.91083,-3.19,-5.99,-7.0,100000.0,5.78,5.806,5.766,0.119,B0III SB,42461956.3946313,22058.6551,54618.125279,80810.123832,-0.00171624,0.00159278,0.00231106,21096,,0,1
3963,3964,29375,1472,21588,,89 Tau,89 Tau/HD 29375/HIP 21588/HR 1472/HYG 21535/MN 3964,,,89 Tau,Tau,4.635956,16.033291,113.05,-40.4,38.0,49.8256,5.78,,,0.312,F0V,10.5390144506916,16.739841,44.86666,13.761717,1.36e-06,4.707e-05,-1.158e-05,21535,,0,0
3964,3965,30076,1508,22024,,56 Eri,56 Eri/HD 30076/HIP 22024/HR 1508/HYG 21971/MN 3965,,,56 Eri,Eri,4.734811,-8.503571,4.44,1.51,15.0,100000.0,5.78,5.844,5.744,-0.076,B2Ve,42461956.3946313,32162.722283,93524.867631,-14787.104406,0.00072169,0.00081667,-0.00199526,21971,,0,1
3965,3966,34989,1763,25041,,HD 34989,HD 34989/HIP 25041/HR 1763/HYG 24980/MN 3966,,,,Ori,5.3621,8.428556,-2.2,-2.97,26.0,436.6812,5.78,,,-0.114,B1V...,809.841447325789,71.804087,425.955332,64.007045,-2.32e-06,2.607e-05,9.12e-06,24980,,0,0
3966,3967,35736,1812,25397,,HD 35736,HD 35736/HIP 25397/HR 1812/HYG 25334/MN 3967,,,,Lep,5.433285,-19.695399,3.43,-19.06,6.0,45.0248,5.78,,,0.441,F5V,8.605973411928222,6.266291,41.925086,-15.17426,-5.98e-06,4.44e-06,-9e-08,25334,,0,0
3967,3968,38527,1987,27280,,HD 38527,HD 38527/HIP 27280/HR 1987/HYG 27212/MN 3968,,,,Ori,5.781149,9.522343,-33.29,-64.54,-26.0,91.3242,5.78,,,0.888,G8III,35.41604004264617,5.157504,89.917839,15.107925,-3.258e-05,-2.231e-05,1.348e-05,27212,,0,0
3968,3969,42126,2175,29388,,41 Aur,41 Aur/HD 42126/HIP 29388/HR 2175/HYG 29315/MN 3969,,,41 Aur,Aur,6.193496,48.710989,14.3,-55.85,29.0,102.459,5.78,,,0.1,A3V+...,44.58615279480704,-3.423416,67.521788,76.986935,3.98e-06,4e-05,-9.14e-06,29315,,0,0
3969,3970,42471,2189,29451,,HD 42471,HD 42471/HIP 29451/HR 2189/HYG 29378/MN 3970,,,,Aur,6.20559,32.69338,-8.69,-4.02,-51.0,285.7143,5.78,,,1.646,M1III,346.73685045253166,-12.935525,240.100913,154.326356,-3.286e-05,-4.018e-05,1.422e-05,29378,,0,0
3970,3971,45557,2345,30463,,HD 45557,HD 45557/HIP 30463/HR 2345/HYG 30390/MN 3971,,,,Pic,6.40385,-60.281325,-30.78,29.99,10.0,93.0233,5.78,,,-0.001,A0V,36.74514791999399,-4.866559,45.858077,-80.788021,-2.18e-06,1.819e-05,1.203e-05,30390,,0,0
3971,3972,46769,2409,31446,,HD 46769,HD 46769/HIP 31446/HR 2409/HYG 31367/MN 3972,,,,Mon,6.58773,0.890216,-3.36,-2.33,10.0,467.2897,5.78,,,0.004,B8Ib,927.2567425805944,-71.608606,461.71338,7.260085,-5.12e-06,1.135e-05,5.94e-06,31367,,0,0
3972,3973,49933,2530,32851,,HD 49933,HD 49933/HIP 32851/HR 2530/HYG 32765/MN 3973,,,,Mon,6.847176,-0.540882,22.12,-187.07,-15.0,29.6824,5.78,,,0.396,F2V,3.739383436431515,-6.5291,28.953916,-0.280201,-2.677e-05,-1.591e-05,3.3e-07,32765,,0,0
3973,3974,52556,2632,33914,,HD 52556,HD 52556/HIP 33914/HR 2632/HYG 33826/MN 3974,,,,Gem,7.038193,15.336008,4.79,-25.03,-14.0,183.1502,5.78,,,1.14,K1III:,142.42951649732905,-47.418361,170.144277,48.439382,-2.522e-05,-8.78e-06,-1.97e-06,33826,,0,0
3974,3975,53510,2663,34215,,HD 53510,HD 53510/HIP 34215/HR 2663/HYG 34127/MN 3975,,,,Mon,7.094174,9.1858,41.94,-14.99,46.0,303.9514,5.78,,,1.513,M0III,392.28346253952094,-84.780987,287.827243,48.521816,-1.429e-05,3.047e-05,-7.34e-05,34127,,0,0
3975,3976,56031,2747,35120,,HD 56031,HD 56031/HIP 35120/HR 2747/HYG 35027/MN 3976,,,,CMi,7.260953,7.977742,23.64,2.2,-9.0,166.3894,5.78,,,1.537,M4III,117.59801740658484,-53.413677,155.881693,23.092908,4.8e-07,-1.504e-05,-1.5e-05,35027,,0,0
3976,3977,59550,2873,36362,,HD 59550,HD 59550/HIP 36362/HR 2873/HYG 36259/MN 3977,,,,Pup,7.484699,-31.456216,-10.44,5.47,8.0,327.8689,5.78,,,-0.185,B2IV,456.6673896495311,-105.99487,258.822011,-171.097389,3.15e-06,1.695e-05,1.099e-05,36259,,0,0
3977,3978,60666,2916,36848,,HD 60666,HD 60666/HIP 36848/HR 2916/HYG 36742/MN 3978,,,,Pup,7.576333,-27.012275,-46.86,71.46,-6.0,99.2063,5.78,,,1.045,K1III,41.80228289540325,-35.447923,80.963782,-45.05763,3.34e-05,1.833e-05,1.658e-05,36742,,0,0
3978,3979,61641,2954,37223,,HD 61641,HD 61641/HIP 37223/HR 2954/HYG 37117/MN 3979,,,,Pup,7.645528,-36.49683,-6.84,4.84,19.0,305.8104,5.78,,,-0.148,B3III,397.0086781121842,-102.660991,223.376448,-181.889494,-5.79e-06,2.231e-05,9.1e-07,37117,,0,0
3979,3980,64185,3070,38160,,HD 64185,HD 64185/HIP 38160/HR 3070/HYG 38052/MN 3980,,,,Car,7.820257,-60.283688,-37.41,140.08,20.0,34.5901,5.78,,,0.428,F1V,5.081594425605605,-7.865283,15.236255,-30.041327,-6.12e-06,3.001e-05,-8.43e-06,38052,,0,0
3980,3981,64484,3081,38210,,HD 64484,HD 64484/HIP 38210/HR 3081/HYG 38102/MN 3981,,,,Vol,7.828054,-66.195974,-1.81,-0.58,11.0,150.8296,5.78,,,-0.04,B9V,96.56060985415496,-28.034889,54.03675,-137.998814,-1.046e-05,4.3e-06,-7.4e-07,38102,,0,0
3981,3982,65301,3106,39221,,HD 65301,HD 65301/HIP 39221/HR 3106/HYG 39110/MN 3982,,,,Lyn,8.022434,59.047398,25.3,32.64,-40.0,46.1255,5.78,,,0.421,F2:V:,9.036494737223014,-11.982226,20.475112,39.556602,-3.133e-05,-2.642e-05,8.91e-06,39110,,0,0
3982,3983,76538,3560,43669,,HD 76538,HD 76538/HIP 43669/HR 3560/HYG 43546/MN 3983,,,,Car,8.896851,-60.353909,-10.05,9.22,2.0,440.5286,5.78,,,-0.088,B5III,824.1381150130021,-149.8645,158.185354,-382.862232,7.96e-06,2.792e-05,3.12e-06,43546,,0,0
3983,3984,79275,3658,45122,,HD 79275,HD 79275/HIP 45122/HR 3658/HYG 44992/MN 3984,,,,Vel,9.192607,-46.583911,-7.17,7.65,7.0,304.878,5.78,,,-0.218,B2IV-V,394.8207780378828,-155.446956,140.510852,-221.457846,2.57e-06,1.667e-05,-2.64e-06,44992,,0,0
3984,3985,88842,4020,50078,,HD 88842,HD 88842/HIP 50078/HR 4020/HYG 49936/MN 3985,,,,Vel,10.224448,-51.755788,-53.27,6.95,18.0,104.712,5.78,,,0.136,A3IV/V,46.55860935229591,-57.940702,29.056748,-82.238781,-1.227e-05,3.052e-05,-5.4e-07,49936,,0,0
3985,3986,104985,4609,58952,,Tonatiuh,HD 104985/HIP 58952/HR 4609/HYG 58776/MN 3986/Tonatiuh,Tonatiuh,,,Cam,12.087451,76.905734,147.22,-92.36,-20.0,97.0874,5.78,,,1.029,G9III,40.03132821780234,-21.989708,-0.504005,94.562822,-2.977e-05,-7.013e-05,-3.611e-05,58777,,0,0
3986,3987,108732,4754,60969,,HD 108732,HD 108732/HIP 60969/HR 4754/HYG 60779/MN 3987,,,,Cru,12.498388,-56.52494,5.79,11.99,42.0,156.0062,5.78,,,1.572,M1III,103.37130523505834,-85.317731,-11.195686,-130.129141,-3.083e-05,-8.41e-06,-3.042e-05,60780,,0,0
3987,3988,109573,4796,61498,,HD 109573,HD 109573/HIP 61498/HR 4796/HYG 61304/MN 3988,,,,Cen,12.600289,-39.869505,-55.92,-24.0,6.0,72.7802,5.78,,,0.003,A0V,22.49054605835781,-55.170938,-8.74246,-46.655143,-1.043e-05,1.96e-05,-2.38e-06,61305,,0,0
3988,3989,114435,4970,64332,,HD 114435,HD 114435/HIP 64332/HR 4970/HYG 64127/MN 3989,,,,Cen,13.185805,-42.232891,-76.67,-26.1,-11.0,84.8896,5.78,,,0.521,F7IV,30.591445594864084,-59.849297,-19.200532,-57.058117,-3.9e-07,3.479e-05,5.17e-06,64128,,0,0
3989,3990,130144,5512,72208,,HD 130144,HD 130144/HIP 72208/HR 5512/HYG 71981/MN 3990,,,,Boo,14.768319,15.131788,-85.07,19.27,-22.0,247.5248,5.78,5.892,5.512,1.335,M5III,260.13572566531326,-178.888815,-158.405401,64.613851,1.645e-05,9.482e-05,-4.689e-05,71982,,0,1
3990,3991,131530,5554,72934,,ξ1 Lib,13 Lib/13Xi 1Lib/HD 131530/HIP 72934/HR 5554/HYG 72706/MN 3991/ξ1 Lib,,ξ1 Lib,13 Lib,Lib,14.906354,-11.898348,-55.68,-7.09,-24.0,103.3058,5.78,,,0.982,G7III,45.3314906146412,-73.209393,-69.70492,-21.299129,1.59e-06,3.726e-05,-1.3e-06,72707,,0,0
3991,3992,141168,5869,77562,,HD 141168,HD 141168/HIP 77562/HR 5869/HYG 77325/MN 3992,,,,Nor,15.835304,-53.20977,-27.6,-39.07,16.0,94.518,5.78,,,-0.076,B8V,37.94897062076348,-30.389618,-47.756417,-75.693297,-2.383e-05,1.062e-05,-8.23e-06,77326,,0,0
3992,3993,142049,5900,77990,,HD 142049,HD 142049/HIP 77990/HR 5900/HYG 77753/MN 3993,,,,Nor,15.925665,-60.177647,-47.33,-71.19,0.0,51.2558,5.78,,,0.355,Amvar,11.158350522886677,-13.17228,-21.822894,-44.468071,-8.8e-06,1.922e-05,-2.14e-06,77754,,0,0
3993,3994,142691,5929,78142,,HD 142691,HD 142691/HIP 78142/HR 5929/HYG 77905/MN 3994,,,,Lup,15.955924,-36.185344,-9.83,-12.37,-5.0,242.7184,5.78,,,1.095,K0/K1III+..,250.264932573108,-99.90148,-168.513486,-143.300729,-8.73e-06,1.684e-05,-3.46e-06,77906,,0,0
3994,3995,145361,6019,79497,,ζ Nor,HD 145361/HIP 79497/HR 6019/HYG 79256/MN 3995/Zet Nor/ζ Nor,,ζ Nor,,Nor,16.222984,-55.540947,-100.49,-41.91,-46.0,66.7557,5.78,,,0.365,F2III,18.914723628330144,-16.945103,-33.756976,-55.04179,3.112e-05,4.837e-05,-1.211e-05,79257,,0,0
3995,3996,152408,6272,82775,,HD 152408,HD 152408/HIP 82775/HR 6272/HYG 82522/MN 3996,,,,Sco,16.916251,-41.150858,-0.16,-1.36,-140.0,694.4444,5.78,,,0.132,O8Iab+...,2047.3872763416373,-146.37759,-501.995612,-456.97406,9.077e-05,0.00010655,3.051e-05,82523,,0,0
3996,3997,166926,6811,85699,,24 UMi,24 UMi/HD 166926/HIP 85699/HR 6811/HYG 85438/MN 3997,,,24 UMi,UMi,17.513056,86.968047,56.09,9.68,1.0,46.8823,5.78,,,0.239,A2m,9.33254300796991,-0.315161,-2.459631,46.816683,1.14e-06,5e-07,1.292e-05,85439,,0,0
3997,3998,160263,6572,86552,,HD 160263,HD 160263/HIP 86552/HR 6572/HYG 86284/MN 3998,,,,Ara,17.687844,-46.92183,10.77,-7.68,-12.0,245.7002,5.78,,,-0.004,A0V,256.33033198659007,-13.69869,-167.252011,-179.464888,2.72e-06,1.397e-05,1.401e-05,86285,,0,0
3998,3999,161814,6624,87393,,HD 161814,HD 161814/HIP 87393/HR 6624/HYG 87121/MN 3999,,,,Pav,17.859853,-60.164056,-0.14,-15.69,17.0,123.1527,5.78,,,1.008,K0III,64.38726829014608,-2.247542,-61.229555,-106.829374,-1.974e-05,-5.2e-07,-1e-07,87122,,0,0
3999,4000,171961,6990,91405,,HD 171961,HD 171961/HIP 91405/HR 6990/HYG 91121/MN 4000,,,,Sgr,18.641865,-23.504893,-0.53,-19.6,-33.0,151.0574,5.78,,,-0.018,B8III,96.91700839472904,23.168051,-136.572122,-60.24571,3e-07,3.609e-05,-6.52e-06,91122,,0,0
4000,4001,178187,7250,93845,,HD 178187,HD 178187/HIP 93845/HR 7250/HYG 93549/MN 4001,,,,Vul,19.110665,24.250793,58.3,14.37,-22.0,107.1811,5.78,,,0.104,A4III,48.7977727286486,28.016329,-93.620749,44.02257,-2.43e-06,3.128e-05,2.226e-05,93550,,0,0
4001,4002,196178,7870,101475,,HD 196178,HD 196178/HIP 101475/HR 7870/HYG 101148/MN 4002,,,,Cyg,20.565234,46.693866,9.66,1.82,-22.0,132.2751,5.78,5.792,5.772,-0.14,B9sp...,74.26770437146976,56.452171,-71.024755,96.256359,-1.557e-05,1.66e-05,-5.28e-06,101149,,0,1
4002,4003,199012,8000,103226,,19 Cap,19 Cap/HD 199012/HIP 103226/HR 8000/HYG 102893/MN 4003,,,19 Cap,Cap,20.913283,-17.922894,-58.88,-17.03,-39.0,111.8568,5.78,,,1.122,K0III,53.11289818550132,73.528361,-76.945094,-34.422349,3.49e-06,7.43e-06,-5.127e-05,102894,,0,0
4003,4004,204139,8207,105928,,35 Cap,35 Cap/HD 204139/HIP 105928/HR 8207/HYG 105586/MN 4004,,,35 Cap,Cap,21.454117,-21.19621,-24.64,-33.95,23.0,171.8213,5.78,,,1.44,K3III,125.31411749414156,125.91253,-99.041598,-62.124282,-3.487e-05,-2.337e-05,-3.49e-06,105587,,0,0
4004,4005,207840,8348,107887,,HD 207840,HD 207840/HIP 107887/HR 8348/HYG 107543/MN 4005,,,,Peg,21.859513,19.826682,20.51,13.33,-20.0,161.5509,5.78,,,-0.1,B8III,110.8664138979956,128.730613,-80.775416,54.794133,2.88e-06,2.572e-05,-1.076e-05,107544,,0,0
4005,4006,210502,8458,109471,,HD 210502,HD 210502/HIP 109471/HR 8458/HYG 109124/MN 4006,,,,Peg,22.177065,11.624539,-46.82,-54.38,17.0,208.7683,5.78,,,1.617,M1III,185.01204347718584,181.638019,-93.927218,42.066311,-5.04e-05,-5.501e-05,3.21e-06,109125,,0,0
4006,4007,212211,8527,110668,,HD 212211,HD 212211/HIP 110668/HR 8527/HYG 110321/MN 4007,,,,Ind,22.419573,-70.431622,121.79,-62.31,4.0,49.456,5.78,,,0.396,F3III,10.384844550082734,15.166715,-6.659559,-46.599577,-8.86e-06,3.184e-05,1.1e-07,110322,,0,0
4007,4008,224062,9047,117887,,HD 224062,HD 224062/HIP 117887/HR 9047/HYG 117516/MN 4008,,,,Psc,23.912951,0.109309,-40.93,-14.63,-2.0,195.3125,5.78,5.851,5.651,1.466,M5IIb,162.03170427399988,195.261411,-4.450662,0.372616,-1.386e-05,-3.87e-05,-2.9e-06,117519,,0,1
4008,4009,1632,79,1657,,HD 1632,HD 1632/HIP 1657/HR 79/HYG 1653/MN 4009,,,,And,0.345978,32.911186,-29.44,-17.29,-36.0,191.9386,5.79,,,1.595,K5III,155.02437888710415,160.4743,14.575103,104.287431,-3.351e-05,-2.929e-05,-1.96e-05,1653,,0,0
4009,4010,9377,441,7118,,HD 9377,HD 9377/HIP 7118/HR 441/HYG 7104/MN 4010,,,,Scl,1.52868,-30.283081,-4.43,-64.34,3.0,102.3541,5.79,,,1.073,K0III,44.09608164506378,81.402989,34.436546,-51.614387,-2.912e-05,-7.26e-06,-1.153e-05,7104,,0,0
4010,4011,13871,656,10540,,20 Ari,20 Ari/HD 13871/HIP 10540/HR 656/HYG 10517/MN 4011,,,20 Ari,Ari,2.262789,25.782937,176.41,-66.38,26.0,42.1053,5.79,,,0.439,F6IV-V,7.461050851930628,31.453504,21.169262,18.314347,-6.3e-07,4.653e-05,4.65e-06,10517,,0,0
4011,4012,16160,753,12114,Gl 105A,268 G. Cet,268 G. Cet/Gl 105A/HD 16160/HIP 12114/HR 753/HYG 12082/MN 4012,268 G. Cet,,,Cet,2.601357,6.88687,1806.27,1442.5,26.0,7.1803,5.79,,,0.918,K3V,0.2169701553800851,5.538462,4.488223,0.861013,5.304e-05,6.168e-05,-2.374e-05,12082,Gl 105,1,0
4012,4013,16673,784,12444,GJ 3175,HD 16673,GJ 3175/HD 16673/HIP 12444/HR 784/HYG 12411/MN 4013,,,,Cet,2.670117,-9.452875,-138.45,-78.69,-4.0,21.7581,5.79,,,0.524,F6V,1.9915902890576112,16.428845,13.810748,-3.573465,-7.52e-06,-1.465e-05,5.26e-06,12411,,0,0
4013,4014,20041,964,15192,,HD 20041,HD 20041/HIP 15192/HR 964/HYG 15154/MN 4014,,,,Per,3.263325,57.14062,-1.95,-2.0,-12.0,877.193,5.79,,,0.644,A0Ia,3235.936569296281,312.563108,358.928083,736.846188,-1.492e-05,-5.08e-06,6.57e-06,15154,,0,0
4014,4015,21912,1078,16591,,HD 21912,HD 21912/HIP 16591/HR 1078/HYG 16550/MN 4015,,,,Per,3.559731,39.899478,17.06,-45.98,4.0,56.0538,5.79,5.822,5.762,0.139,A5m,13.21904253441724,25.641807,34.521663,35.955321,-6.96e-06,1.172e-05,2.93e-06,16550,,0,1
4015,4016,23005,1124,17585,,HD 23005,HD 23005/HIP 17585/HR 1124/HYG 17543/MN 4016,,,,Cam,3.766907,67.201605,82.08,-113.37,6.0,55.4324,5.79,,,0.347,F0IV,12.93004391796279,11.854111,17.912267,51.101738,-6.15e-06,3.758e-05,-1.58e-06,17543,,0,0
4016,4017,29399,1475,21253,,HD 29399,HD 29399/HIP 21253/HR 1475/HYG 21200/MN 4017,,,,Ret,4.559453,-62.823677,-117.21,-19.34,31.0,45.1467,5.79,,,1.028,K1III,8.574326166361798,7.593584,19.170854,-40.162986,-3.014e-05,5.2e-07,2.78e-05,21200,,0,0
4017,4018,31373,1576,22913,,HD 31373,HD 31373/HIP 22913/HR 1576/HYG 22860/MN 4018,,,,Ori,4.930598,15.040278,-4.54,-11.54,7.0,111.4827,5.79,,,-0.085,B9V,52.28775553134414,29.750257,103.471781,28.929556,-4.17e-06,7.52e-06,4.72e-06,22860,,0,0
4018,4019,31553,1586,23068,,99 Tau,99 Tau/HD 31553/HIP 23068/HR 1586/HYG 23014/MN 4019,,,99 Tau,Tau,4.963513,23.948562,2.61,-9.37,4.0,139.6648,5.79,,,1.109,G8III:,82.03515443298177,34.212143,122.97067,56.692238,-4.14e-06,6.56e-06,-1e-08,23014,,0,0
4019,4020,31592,1590,23088,,98 Tau,98 Tau/HD 31592/HIP 23088/HR 1590/HYG 23034/MN 4020,,,98 Tau,Tau,4.969275,25.050405,26.23,-47.62,26.0,87.184,5.79,,,0.018,A0V,31.97422303204927,21.055375,76.125117,36.915148,-6.97e-06,3.439e-05,-1.99e-06,23034,,0,0
4020,4021,37993,1964,26169,,HD 37993,HD 37993/HIP 26169/HR 1964/HYG 26104/MN 4021,,,,Men,5.579106,-73.741277,0.06,37.09,-11.0,333.3333,5.79,5.874,5.694,1.717,M2/M3III,467.30453963151,10.262661,92.759031,-320.002287,2.758e-05,5.407e-05,5.88e-06,26104,,0,1
4021,4022,39007,2014,27549,,HD 39007,HD 39007/HIP 27549/HR 2014/HYG 27481/MN 4022,,,,Ori,5.834079,9.871218,14.82,-1.68,44.0,109.8901,5.79,,,0.876,G8III,50.81594425605605,4.70127,108.161505,18.838991,6.83e-06,4.479e-05,-5.96e-06,27481,,0,0
4022,4023,41843,2164,28899,,HD 41843,HD 41843/HIP 28899/HR 2164/HYG 28827/MN 4023,,,,Col,6.101538,-29.758624,10.94,-41.69,7.0,85.2515,5.79,,,0.041,A1V,30.591445594864084,-1.967129,73.98279,-42.314372,-1.851e-05,-2.46e-06,-4.46e-06,28827,,0,0
4023,4024,44081,2271,30011,,HD 44081,HD 44081/HIP 30011/HR 2271/HYG 29938/MN 4024,,,,CMa,6.316382,-20.925611,-3.32,3.9,31.0,537.6344,5.79,,,-0.155,B3II/III,1215.6260552373797,-41.546911,500.453319,-192.019208,-1.83e-06,3.385e-05,5.87e-06,29938,,0,0
4024,4025,47964,2461,31992,,HD 47964,HD 47964/HIP 31992/HR 2461/HYG 31909/MN 4025,,,,Mon,6.684845,0.495323,-7.48,-5.04,23.0,384.6154,5.79,,,-0.094,B8III,622.3002851691596,-68.587043,378.436159,3.324968,-9.19e-06,2.571e-05,9.51e-06,31909,,0,0
4025,4026,58461,2832,35998,,HD 58461,HD 58461/HIP 35998/HR 2832/HYG 35899/MN 4026,,,,CMa,7.418977,-13.751978,-202.9,-0.91,7.0,35.6379,5.79,,,0.432,F3V,5.345643593969716,-12.565793,32.255127,-8.471836,-1.85e-06,1.917e-05,3.015e-05,35899,,0,0
4026,4027,58612,2841,36024,,HD 58612,HD 58612/HIP 36024/HR 2841/HYG 35924/MN 4027,,,,CMa,7.423686,-25.217767,-8.66,-0.89,24.0,432.9004,5.79,,,-0.103,B5III,788.4969177453771,-142.616809,364.752924,-184.441569,-1.215e-05,2.656e-05,9.13e-06,35924,,0,0
4027,4028,59067,2859,36251,,HD 59067,HD 59067/HIP 36251/HR 2859/HYG 36149/MN 4028,,,,CMa,7.46435,-11.556867,-2.13,-2.31,15.0,485.4369,5.79,,,0.583,B8Vv comp VB,991.744955231413,-177.893755,441.072382,-97.252666,-8.4e-06,1.48e-05,-5.7e-07,36149,,0,0
4028,4029,61885,2965,37508,,HD 61885,HD 61885/HIP 37508/HR 2965/HYG 37401/MN 4029,,,,Gem,7.697735,13.480453,-35.61,-24.95,7.0,238.6635,5.79,,,1.669,M2III,239.6624529408638,-99.792353,209.538656,55.635727,-2.64e-05,3.008e-05,3.131e-05,37401,,0,0
4029,4030,73340,3413,42177,,HD 73340,HD 73340/HIP 42177/HR 3413/HYG 42058/MN 4030,,,,Vel,8.597787,-50.969651,-13.69,10.46,23.0,136.7989,5.79,5.804,5.774,-0.132,B8 Si,78.70457896950985,-54.17509,66.980034,-106.267257,-1.39e-05,2.142e-05,-5.65e-06,42058,,0,1
4030,4031,76236,3543,43012,,HD 76236,HD 76236/HIP 43012/HR 3543/HYG 42893/MN 4031,,,,Cha,8.765339,-79.504373,-26.11,81.26,7.0,152.9052,5.79,,,1.595,K5III,98.35580562269574,-18.448796,20.867393,-150.346976,3.93e-06,5.817e-05,-2.559e-05,42893,,0,0
4031,4032,76110,3535,43603,,HD 76110,HD 76110/HIP 43603/HR 3535/HYG 43480/MN 4032,,,,Vel,8.880005,-38.724086,-3.06,18.39,21.0,214.1328,5.79,,,1.508,K5/M0III,192.8412775639425,-114.360325,121.781054,-133.955319,1.46e-06,2.309e-05,-1.733e-05,43480,,0,0
4032,4033,80479,3704,45743,,HD 80479,HD 80479/HIP 45743/HR 3704/HYG 45612/MN 4033,,,,Hya,9.32587,-15.834663,36.93,-52.86,-30.0,138.5042,5.79,,,1.285,K1/K2III,80.68633703638186,-101.906459,85.849515,-37.792504,-2.577e-05,-4.422e-05,1.401e-05,45612,,0,0
4033,4034,80390,3698,45915,,HD 80390,HD 80390/HIP 45915/HR 3698/HYG 45783/MN 4034,,,,UMa,9.362026,56.699219,-10.55,-11.91,21.0,230.4147,5.79,5.981,5.621,1.511,M4IIIa,223.4601057731221,-97.517012,80.586059,192.580736,1.065e-05,2.368e-05,-1.015e-05,45783,,0,1
4034,4035,85655,3913,48339,,HD 85655,HD 85655/HIP 48339/HR 3913/HYG 48202/MN 4035,,,,Car,9.853347,-59.425774,28.4,-41.59,24.0,236.4066,5.79,,,1.354,K2IIICNp...,235.07151159382903,-101.754452,64.077517,-203.539395,-4.538e-05,-4.276e-05,6.82e-06,48202,,0,0
4035,4036,90840,4113,51420,,32 LMi,32 LMi/HD 90840/HIP 51420/HR 4113/HYG 51275/MN 4036,,,32 LMi,LMi,10.501792,38.925132,-15.68,-4.62,2.0,231.4815,5.79,,,0.087,A4V,225.52775667452468,-166.409261,68.837569,145.440847,-2.75e-06,1.811e-05,2.25e-06,51275,,0,0
4036,4037,92728,4187,52478,,39 UMa,39 UMa/HD 92728/HIP 52478/HR 4187/HYG 52327/MN 4037,,,39 UMa,UMa,10.728702,57.199203,17.38,-51.66,-15.0,113.3787,5.79,,,-0.038,A0Vs,54.10034068634676,-58.048933,20.066571,95.301382,-2.828e-05,-3.95e-06,-1.782e-05,52327,,0,0
4037,4038,97023,4339,54561,,HD 97023,HD 97023/HIP 54561/HR 4339/HYG 54401/MN 4038,,,,Hya,11.164831,-32.367529,17.54,-29.6,0.0,120.919,5.79,,,0.027,A1V,61.48936385126264,-99.700424,22.153312,-64.733769,-1.466e-05,-1.205e-05,6.84e-06,54401,,0,0
4038,4039,97605,4358,54863,,HD 97605,HD 97605/HIP 54863/HR 4358/HYG 54701/MN 4039,,,,Leo,11.233843,8.060695,46.23,-106.76,17.0,60.5694,5.79,,,1.128,K3III,15.431210656577916,-58.768786,11.948482,8.493187,-2.86e-05,-9e-06,-2.388e-05,54702,,0,0
4039,4040,107860,4714,60463,,HD 107860,HD 107860/HIP 60463/HR 4714/HYG 60276/MN 4040,,,,Cen,12.395765,-38.911381,-56.54,-12.46,-8.0,102.7749,5.79,,,-0.064,B8/B9V,44.42219354710552,-79.542121,-8.271,-64.554681,3.1e-07,2.908e-05,7.3e-06,60277,,0,0
4040,4041,112846,4921,63414,,44 Vir,44 Vir/HD 112846/HIP 63414/HR 4921/HYG 63211/MN 4041,,,44 Vir,Vir,12.99431,-3.811926,-48.2,6.57,-18.0,77.9423,5.79,,,0.203,A3V,25.562304271125456,-75.149664,-20.016363,-5.181717,3.7e-06,2.228e-05,1.29e-05,63212,,0,0
4041,4042,114256,4960,64179,,HD 114256,HD 114256/HIP 64179/HR 4960/HYG 63975/MN 4042,,,,Vir,13.153454,10.022468,22.78,0.18,-0.4,94.518,5.79,,,1.025,K0III,37.60105236684958,-88.864068,-27.681165,16.449378,1e-08,-9.84e-06,3.5e-06,63976,,0,0
4042,4043,118666,5130,66681,,HD 118666,HD 118666/HIP 66681/HR 5130/HYG 66469/MN 4043,,,,Cen,13.669656,-64.576553,-69.6,0.46,4.0,69.4444,5.79,,,0.401,F3III-IV,20.286167169662928,-27.009779,-12.62048,-62.719415,-3.63e-06,2.042e-05,-1.164e-05,66470,,0,0
4043,4044,139254,5806,76532,,HD 139254,HD 139254/HIP 76532/HR 5806/HYG 76296/MN 4044,,,,Lib,15.630011,-23.141698,-31.72,-75.18,7.0,84.246,5.79,,,1.074,K0III,29.8675775503349,-45.040312,-63.028147,-33.109244,-3.105e-05,1.199e-05,-7.35e-06,76297,,0,0
4044,4045,144208,5983,78649,,HD 144208,HD 144208/HIP 78649/HR 5983/HYG 78409/MN 4045,,,,CrB,16.055379,36.631787,8.03,-13.52,-1.0,200.8032,5.79,,,0.586,A2V+...,169.6680232346464,-78.539268,-140.706375,119.813275,-1.117e-05,-9.95e-06,3.4e-06,78410,,0,0
